Run           ,B (G)       ,omega (kHz)     ,Amplitude   ,f0 (MHz)     ,Width      ,Offset      ,median    ,lower     ,upper     ,sigma_M    ,sigma_P    ,N_fits      
50us          ,      202.10,      2.5000,    -5320.12,     43.2030,        0.01,    26753.22,       43.20,       43.14,       43.23,        0.06,        0.03,         100
90us          ,      202.10,      2.5000,    -9654.23,     43.2130,        0.00,    27558.14,       43.21,       43.18,       43.25,        0.03,        0.03,         100
130us         ,      202.10,      2.5000,    -4237.17,     43.2188,        0.01,    24454.41,       43.22,       43.18,       43.26,        0.04,        0.04,         100
169us         ,      202.10,      2.5000,    -4056.86,     43.2480,        0.01,    27469.55,       43.25,       43.20,       43.28,        0.05,        0.04,         100
209us         ,      202.10,      2.5000,    -3904.77,     43.2321,        0.01,    26861.00,       43.23,       43.19,       43.29,        0.05,        0.05,         100
249us         ,      202.10,      2.5000,    -3872.45,     43.2293,        0.01,    26629.94,       43.23,       43.20,       43.26,        0.03,        0.04,         100
290us         ,      202.10,      2.5000,    -3332.96,     43.2339,        0.01,    27872.01,       43.23,       43.16,       43.27,        0.07,        0.04,         100
329us         ,      202.10,      2.5000,    -3593.74,     43.2158,        0.01,    26852.16,       43.22,       43.18,       43.25,        0.03,        0.03,         100
369us         ,      202.10,      2.5000,    -4288.51,     43.2330,        0.01,    26328.39,       43.23,       43.19,       43.29,        0.04,        0.06,         100
409us         ,      202.10,      2.5000,    -4642.68,     43.1973,        0.01,    25407.67,       43.20,       43.16,       43.26,        0.04,        0.06,         100
449us         ,      202.10,      2.5000,    -4396.90,     43.2030,        0.01,    23230.59,       43.20,       43.17,       43.24,        0.03,        0.03,         100
489us         ,      202.10,      2.5000,    -4357.97,     43.2330,        0.01,    24308.90,       43.23,       43.17,       43.26,        0.07,        0.03,         100
529us         ,      202.10,      2.5000,    -3795.99,     43.1959,        0.01,    25090.14,       43.20,       43.17,       43.25,        0.03,        0.05,         100
570us         ,      202.10,      2.5000,    -4504.37,     43.2230,        0.01,    25866.11,       43.22,       43.14,       43.29,        0.09,        0.07,         100
