,filename,time,B,e_B,A,x0,sigma,C,e_A,e_x0,e_sigma,e_C
0,2024-03-04_C_e_delay from wiggle start=415.dat,415,202.10778185323994,0.003246237642883898,0.15641608612621488,44.81795310185557,0.09740202588933738,0.06643613101071866,0.004180865378451063,0.0005070765705428541,0.0031853617319469478,0.004462138712662561
1,2024-03-04_C_e_delay from wiggle start=465.dat,465,202.11999547862595,0.003739105972414336,0.16790709050923916,44.81986089811529,0.10633687595266084,0.050463052802456526,0.006941261790594338,0.0005840429519827437,0.004879542521504431,0.0075839419337589975
2,2024-03-04_C_e_delay from wiggle start=515.dat,515,202.1325348099092,0.005393220904466034,0.16328102323830496,44.82181949770428,0.09710830551874738,0.05982275328600361,0.007200082126039541,0.0008423795569543214,0.005254168543425951,0.007675608716833728
3,2024-03-04_C_e_delay from wiggle start=565.dat,565,202.13912880278502,0.0036412676865040794,0.16449299022600092,44.82284942673886,0.10122300790724376,0.05746098159511032,0.005490436972623947,0.0005687282119384812,0.003978317651995418,0.005940649113525832
4,2024-03-04_C_e_delay from wiggle start=615.dat,615,202.15055139384353,0.0035963790435005194,0.14782773313038297,44.82463349607389,0.09491139855058013,0.06900602817402005,0.00397557733371513,0.0005616978751701596,0.003159564060279805,0.004123737066396304
5,2024-03-04_C_e_delay from wiggle start=665.dat,665,202.13973987059362,0.0038002584370531167,0.15540180042352628,44.82294486962032,0.09781326315218426,0.06122216358973079,0.00487858758445714,0.0005935596880197091,0.003738232298075208,0.005205050750434189
6,2024-03-04_C_e_delay from wiggle start=715.dat,715,202.13497772241982,0.004672529395179481,0.15623490888078526,44.82220106350578,0.0962450211387681,0.06032869022150317,0.005806670107727928,0.0007298085391461949,0.0044179763080550594,0.006151125722781282
7,2024-03-04_C_e_delay from wiggle start=765.dat,765,202.1269096123239,0.004723862782867627,0.16425986231284173,44.820940870672516,0.10914466992225408,0.04743145443543736,0.009387251744165725,0.0007378441619596317,0.006691692474708816,0.010247848419015179
8,2024-03-04_C_e_delay from wiggle start=815.dat,815,202.11087888901162,0.002975664472074868,0.1616721102905281,44.81843687254726,0.09958985657587868,0.05634390436662247,0.004247225013051845,0.0004648077264682248,0.0031364397580480835,0.004583300991485351
9,2024-03-04_C_e_delay from wiggle start=865.dat,865,202.13068604672165,0.008507173316729677,0.1488837942326519,44.82153073201234,0.10184872993992015,0.052847223698472015,0.009332753130531992,0.0013287560865924075,0.00920170316993826,0.010617149539311985
10,2024-03-04_H_e_delay from wiggle start=145.dat,145,202.14142809103274,0.00599371515889402,0.16318469777591435,44.82320855241623,0.09958610057967189,0.06344395352708278,0.008486376565129452,0.0009361463323377837,0.006199030773645634,0.009121944114699087
11,2024-03-04_H_e_delay from wiggle start=195.dat,195,202.14620596241488,0.004412655128874121,0.1582940883279651,44.8239547999111,0.09702074563245888,0.06643736497953863,0.005570507161528265,0.0006891955034306735,0.004174882043156721,0.005891741925738954
12,2024-03-04_H_e_delay from wiggle start=245.dat,245,202.14871143931265,0.006840954365316065,0.16364463949270389,44.82434612175648,0.10308621976669682,0.05670121453755284,0.010593251892585576,0.001068450236385976,0.007696365403173621,0.01146529123430541
13,2024-03-04_H_e_delay from wiggle start=295.dat,295,202.13716323902952,0.003852389357263064,0.1605818941633622,44.82254242350523,0.09902339728513893,0.05629364587744024,0.005320129304871769,0.000601706579993596,0.0039517226627149805,0.005716281707369779
14,2024-03-04_H_e_delay from wiggle start=345.dat,345,202.12296112648684,0.004427375328816652,0.15919643217749468,44.820324128564515,0.09958728053303059,0.05448042854580351,0.006255143600132561,0.0006915427699549906,0.004693244355409109,0.0067580070973317485
15,2024-03-04_H_e_delay from wiggle start=45.dat,45,202.10584732878027,0.00821373305797124,0.15417168703621625,44.81765091829605,0.09029774097513596,0.09567384700295924,0.00868645989856571,0.00128301904899726,0.006469897202180406,0.00866322511709033
16,2024-03-04_H_e_delay from wiggle start=95.dat,95,202.1251714304744,0.005033554087702896,0.16858630812019834,44.8206693725766,0.10594144951584504,0.06456691804614362,0.009247476706846764,0.0007862201538749413,0.006481791342649885,0.01010159390473182
